dataset,TP,FP,FN,precision,recall,f1,model_type,training_config,layer,quantization,r,lora_alpha,lora_dropout,gradient_accumulation_steps,learning_rate,run_type
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_64_0.01_8_0.0002_3EpochsLast,5492,4620,5374,0.5431170886075949,0.5054297809681576,0.5235961483458862,Llama-2-7b-hf,en.layer1_NoQuant_32_64_0.01_8_0.0002_3EpochsLast,en.layer1,NoQuant,32,64,0.01,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.01_4_0.0002_3EpochsLast,174,165,10692,0.5132743362831859,0.01601325234676974,0.031057563587684068,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.01_4_0.0002_3EpochsLast,en.layer1,NoQuant,16,32,0.01,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.05_4_0.0002_3EpochsLast,1173,796,9693,0.595733875063484,0.10795140806184428,0.1827814569536424,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.05_4_0.0002_3EpochsLast,en.layer1,NoQuant,16,64,0.05,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.01_8_0.0002_3EpochsLast,5093,4320,5773,0.5410602358440455,0.46870973679366834,0.5022930124759604,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.01_8_0.0002_3EpochsLast,en.layer1,NoQuant,16,32,0.01,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_64_0.05_4_0.0002_3EpochsLast,5772,4919,5094,0.5398933682536713,0.5311982330204307,0.5355105070278795,Llama-2-7b-hf,en.layer1_NoQuant_32_64_0.05_4_0.0002_3EpochsLast,en.layer1,NoQuant,32,64,0.05,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_64_0.05_2_0.0002_3EpochsLast,8027,7134,2839,0.5294505639469692,0.7387263022271305,0.6168209935835863,Llama-2-7b-hf,en.layer1_NoQuant_32_64_0.05_2_0.0002_3EpochsLast,en.layer1,NoQuant,32,64,0.05,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.05_8_0.0002_3EpochsLast,168,113,10698,0.597864768683274,0.015461071231363888,0.030142639275141294,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.05_8_0.0002_3EpochsLast,en.layer1,NoQuant,16,64,0.05,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.01_2_0.0002_3EpochsLast,842,766,10024,0.5236318407960199,0.07748941652862139,0.13500080166746833,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.01_2_0.0002_3EpochsLast,en.layer1,NoQuant,16,32,0.01,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_32_0.05_8_0.0002_3EpochsLast,7747,2802,3119,0.7343824059152526,0.7129578501748574,0.7235115573196357,Llama-2-7b-hf,en.layer1_NoQuant_64_32_0.05_8_0.0002_3EpochsLast,en.layer1,NoQuant,64,32,0.05,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_32_0.01_4_0.0002_3EpochsLast,316,346,10550,0.4773413897280967,0.029081538744708264,0.05482303955586398,Llama-2-7b-hf,en.layer1_NoQuant_32_32_0.01_4_0.0002_3EpochsLast,en.layer1,NoQuant,32,32,0.01,4,0.0002,3EpochsLast
