dataset,TP,FP,FN,precision,recall,f1,model_type,training_config,layer,quantization,r,lora_alpha,lora_dropout,gradient_accumulation_steps,learning_rate,run_type
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.05_2_0.0002_3EpochsLast,7085,1438,3409,0.8312800657045641,0.6751477034495903,0.7451227848766893,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.05_2_0.0002_3EpochsLast,en.layer1,NoQuant,16,32,0.05,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.05_4_0.0002_3EpochsLast,7662,4507,1199,0.6296326731859644,0.8646879584696987,0.7286733238231099,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.05_4_0.0002_3EpochsLast,en.layer1,NoQuant,16,32,0.05,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.05_8_0.0002_3EpochsLast,7499,5464,1593,0.5784926328781917,0.8247910250769908,0.6800272047154841,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.05_8_0.0002_3EpochsLast,en.layer1,NoQuant,16,32,0.05,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.01_2_0.0002_3EpochsLast,6202,4764,2369,0.5655662958234543,0.7236028468090071,0.6348978860623432,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.01_2_0.0002_3EpochsLast,en.layer1,NoQuant,16,32,0.01,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.01_4_0.0002_3EpochsLast,6277,6079,2258,0.5080123017157656,0.7354422964264792,0.6009286295533961,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.01_4_0.0002_3EpochsLast,en.layer1,NoQuant,16,32,0.01,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.01_8_0.0002_3EpochsLast,653,205,10209,0.7610722610722611,0.06011784201804456,0.1114334470989761,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.01_8_0.0002_3EpochsLast,en.layer1,NoQuant,16,32,0.01,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.05_2_0.0002_3EpochsLast,558,278,10229,0.6674641148325359,0.05172893297487717,0.09601651897100577,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.05_2_0.0002_3EpochsLast,en.layer1,NoQuant,16,64,0.05,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.05_4_0.0002_3EpochsLast,3572,3670,6301,0.4932339132836233,0.3617947938823053,0.4174116272275782,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.05_4_0.0002_3EpochsLast,en.layer1,NoQuant,16,64,0.05,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.05_8_0.0002_3EpochsLast,210,208,10621,0.5023923444976076,0.01938879143200074,0.037336652146857496,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.05_8_0.0002_3EpochsLast,en.layer1,NoQuant,16,64,0.05,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.01_2_0.0002_3EpochsLast,461,372,10268,0.553421368547419,0.0429676577500233,0.07974398892925098,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.01_2_0.0002_3EpochsLast,en.layer1,NoQuant,16,64,0.01,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.01_4_0.0002_3EpochsLast,434,688,10235,0.3868092691622103,0.040678601555909646,0.07361546942583327,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.01_4_0.0002_3EpochsLast,en.layer1,NoQuant,16,64,0.01,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.01_8_0.0002_3EpochsLast,255,294,10537,0.4644808743169399,0.023628613787991106,0.04496957940216913,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.01_8_0.0002_3EpochsLast,en.layer1,NoQuant,16,64,0.01,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_32_0.05_2_0.0002_3EpochsLast,351,357,10356,0.4957627118644068,0.0327822919585318,0.06149802890932983,Llama-2-7b-hf,en.layer1_NoQuant_32_32_0.05_2_0.0002_3EpochsLast,en.layer1,NoQuant,32,32,0.05,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_32_0.05_4_0.0002_3EpochsLast,226,339,10534,0.4,0.02100371747211896,0.03991169977924946,Llama-2-7b-hf,en.layer1_NoQuant_32_32_0.05_4_0.0002_3EpochsLast,en.layer1,NoQuant,32,32,0.05,4,0.0002,3EpochsLast
