dataset,TP,FP,FN,precision,recall,f1,model_type,training_config,layer,quantization,r,lora_alpha,lora_dropout,gradient_accumulation_steps,learning_rate,run_type
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.05_2_0.0002_5Epochs,8850,2675,1526,0.7678958785249458,0.8529298380878951,0.8081822747819734,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.05_2_0.0002_5Epochs,en.layer1,NoQuant,16,32,0.05,2,0.0002,5Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.05_4_0.0002_5Epochs,7481,4164,2256,0.6424216401889223,0.7683064598952449,0.6997474511271162,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.05_4_0.0002_5Epochs,en.layer1,NoQuant,16,32,0.05,4,0.0002,5Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.05_8_0.0002_5Epochs,6863,5934,1542,0.5362975697429085,0.816537775133849,0.6473917554947647,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.05_8_0.0002_5Epochs,en.layer1,NoQuant,16,32,0.05,8,0.0002,5Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.01_2_0.0002_5Epochs,6811,7917,1314,0.46245247148288976,0.838276923076923,0.5960705377849735,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.01_2_0.0002_5Epochs,en.layer1,NoQuant,16,32,0.01,2,0.0002,5Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.01_4_0.0002_5Epochs,6941,8447,1066,0.45106576553158306,0.8668664918196578,0.5933746527035691,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.01_4_0.0002_5Epochs,en.layer1,NoQuant,16,32,0.01,4,0.0002,5Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.01_8_0.0002_5Epochs,231,642,10083,0.2646048109965636,0.02239674229203025,0.041297935103244844,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.01_8_0.0002_5Epochs,en.layer1,NoQuant,16,32,0.01,8,0.0002,5Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.05_2_0.0002_5Epochs,5914,7487,2529,0.4413103499738825,0.700461921118086,0.5414759201611427,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.05_2_0.0002_5Epochs,en.layer1,NoQuant,16,64,0.05,2,0.0002,5Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.05_4_0.0002_5Epochs,4649,6286,4185,0.42514860539551896,0.5262621688929138,0.47033233850978806,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.05_4_0.0002_5Epochs,en.layer1,NoQuant,16,64,0.05,4,0.0002,5Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.05_8_0.0002_5Epochs,575,1589,9228,0.26571164510166356,0.05865551361828012,0.09609760173811313,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.05_8_0.0002_5Epochs,en.layer1,NoQuant,16,64,0.05,8,0.0002,5Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.01_2_0.0002_5Epochs,4445,6222,4333,0.4167057279460017,0.5063795853269537,0.457186937516071,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.01_2_0.0002_5Epochs,en.layer1,NoQuant,16,64,0.01,2,0.0002,5Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.01_4_0.0002_5Epochs,4141,5650,4835,0.4229394341742416,0.4613413547237077,0.4413065487291522,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.01_4_0.0002_5Epochs,en.layer1,NoQuant,16,64,0.01,4,0.0002,5Epochs
