dataset,TP,FP,FN,precision,recall,f1,model_type,training_config,layer,quantization,r,lora_alpha,lora_dropout,gradient_accumulation_steps,learning_rate,run_type
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.05_2_0.0002_5EpochsBestF1Train,8097,2139,2309,0.791031652989449,0.7781087833941956,0.7845170041662628,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.05_2_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,16,32,0.05,2,0.0002,5EpochsBestF1Train
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.05_4_0.0002_5EpochsBestF1Train,4025,1217,6378,0.767836703548264,0.38690762280111507,0.5145413870246086,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.05_4_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,16,32,0.05,4,0.0002,5EpochsBestF1Train
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.05_8_0.0002_5EpochsBestF1Train,3538,2104,6233,0.6270825948245303,0.3620919046156995,0.459092973463959,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.05_8_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,16,32,0.05,8,0.0002,5EpochsBestF1Train
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.01_2_0.0002_5EpochsBestF1Train,781,442,9935,0.6385936222403925,0.07288167226577082,0.13083172795041462,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.01_2_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,16,32,0.01,2,0.0002,5EpochsBestF1Train
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.01_4_0.0002_5EpochsBestF1Train,712,422,10116,0.6278659611992945,0.0657554488363502,0.11904363818759404,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.01_4_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,16,32,0.01,4,0.0002,5EpochsBestF1Train
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.01_8_0.0002_5EpochsBestF1Train,469,734,10014,0.38985868661679135,0.044739101402270345,0.08026698613725827,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.01_8_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,16,32,0.01,8,0.0002,5EpochsBestF1Train
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.05_2_0.0002_5EpochsBestF1Train,3154,3931,6599,0.44516584333098097,0.3233876755869989,0.3746288157738449,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.05_2_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,16,64,0.05,2,0.0002,5EpochsBestF1Train
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.05_4_0.0002_5EpochsBestF1Train,2363,3025,7664,0.43856718634001485,0.23566370798843123,0.3065844956211482,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.05_4_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,16,64,0.05,4,0.0002,5EpochsBestF1Train
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.05_8_0.0002_5EpochsBestF1Train,365,1006,9814,0.2662290299051787,0.03585813930641517,0.0632034632034632,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.05_8_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,16,64,0.05,8,0.0002,5EpochsBestF1Train
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.01_2_0.0002_5EpochsBestF1Train,3460,4470,6034,0.43631778058007564,0.36444069938908785,0.3971533516988062,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.01_2_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,16,64,0.01,2,0.0002,5EpochsBestF1Train
