dataset,TP,FP,FN,precision,recall,f1,model_type,training_config,layer,quantization,r,lora_alpha,lora_dropout,gradient_accumulation_steps,learning_rate,run_type
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_32_0.01_4_0.0002_3EpochsLast,2559,2328,8307,0.523634131368938,0.23550524572059636,0.3248904970481813,Llama-2-7b-hf,en.layer1_NoQuant_64_32_0.01_4_0.0002_3EpochsLast,en.layer1,NoQuant,64,32,0.01,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.01_4_0.0002_3EpochsLast,2594,2364,8272,0.5231948366276724,0.2387263022271305,0.32785642062689585,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.01_4_0.0002_3EpochsLast,en.layer1,NoQuant,16,64,0.01,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.01_8_0.0002_3EpochsLast,1652,1571,9214,0.5125659323611542,0.15203386710841155,0.23450919156788982,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.01_8_0.0002_3EpochsLast,en.layer1,NoQuant,16,64,0.01,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_32_0.05_4_0.0002_3EpochsLast,2879,1823,7987,0.612292641429179,0.2649549052089085,0.3698612538540596,Llama-2-7b-hf,en.layer1_NoQuant_32_32_0.05_4_0.0002_3EpochsLast,en.layer1,NoQuant,32,32,0.05,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_64_0.05_8_0.0002_3EpochsLast,3216,2140,7650,0.6004480955937267,0.2959690778575373,0.3964985821723585,Llama-2-7b-hf,en.layer1_NoQuant_32_64_0.05_8_0.0002_3EpochsLast,en.layer1,NoQuant,32,64,0.05,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_64_0.05_2_0.0002_3EpochsLast,242,274,10624,0.4689922480620155,0.022271304988036075,0.0425232823756809,Llama-2-7b-hf,en.layer1_NoQuant_32_64_0.05_2_0.0002_3EpochsLast,en.layer1,NoQuant,32,64,0.05,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_32_0.05_4_0.0002_3EpochsLast,2364,2143,8502,0.5245174173507877,0.21755935946990612,0.30755220191244387,Llama-2-7b-hf,en.layer1_NoQuant_64_32_0.05_4_0.0002_3EpochsLast,en.layer1,NoQuant,64,32,0.05,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.05_8_0.0002_3EpochsLast,10593,8934,273,0.5424796435704409,0.9748757592490337,0.6970684039087948,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.05_8_0.0002_3EpochsLast,en.layer1,NoQuant,16,32,0.05,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_32_0.05_2_0.0002_3EpochsLast,282,288,10584,0.49473684210526314,0.025952512424075095,0.04931794333683105,Llama-2-7b-hf,en.layer1_NoQuant_32_32_0.05_2_0.0002_3EpochsLast,en.layer1,NoQuant,32,32,0.05,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.01_8_0.0002_3EpochsLast,346,419,10520,0.4522875816993464,0.03184244432173753,0.05949617401771129,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.01_8_0.0002_3EpochsLast,en.layer1,NoQuant,16,32,0.01,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_32_0.01_4_0.0002_3EpochsLast,316,346,10550,0.4773413897280967,0.029081538744708264,0.05482303955586398,Llama-2-7b-hf,en.layer1_NoQuant_32_32_0.01_4_0.0002_3EpochsLast,en.layer1,NoQuant,32,32,0.01,4,0.0002,3EpochsLast
