dataset,TP,FP,FN,precision,recall,f1,model_type,training_config,layer,quantization,r,lora_alpha,lora_dropout,gradient_accumulation_steps,learning_rate,run_type
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.05_2_0.0002_3EpochsLast_clent,1079,9686,1141,0.1002322340919647,0.486036036036036,0.16619175972275702,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.05_2_0.0002_3EpochsLast_clent,en.layer1,NoQuant,16,64,0.05,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.05_4_0.0002_3EpochsLast_clent,2212,17494,8,0.11225007611894855,0.9963963963963964,0.2017695886162547,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.05_4_0.0002_3EpochsLast_clent,en.layer1,NoQuant,16,32,0.05,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_64_0.01_8_0.0002_3EpochsLast_clent,2209,17414,11,0.11257198185802375,0.9950450450450451,0.20226159410337408,Llama-2-7b-hf,en.layer1_NoQuant_32_64_0.01_8_0.0002_3EpochsLast_clent,en.layer1,NoQuant,32,64,0.01,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.05_2_0.0002_3EpochsLast_clent,28,79,2192,0.2616822429906542,0.012612612612612612,0.024065320154705628,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.05_2_0.0002_3EpochsLast_clent,en.layer1,NoQuant,16,32,0.05,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_32_0.01_2_0.0002_3EpochsLast_clent,53,219,2167,0.1948529411764706,0.023873873873873873,0.04253611556982343,Llama-2-7b-hf,en.layer1_NoQuant_32_32_0.01_2_0.0002_3EpochsLast_clent,en.layer1,NoQuant,32,32,0.01,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_64_0.05_4_0.0002_3EpochsLast_clent,2207,17352,13,0.11283807965642416,0.9941441441441441,0.20267229900362738,Llama-2-7b-hf,en.layer1_NoQuant_32_64_0.05_4_0.0002_3EpochsLast_clent,en.layer1,NoQuant,32,64,0.05,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_32_0.01_2_0.0002_3EpochsLast_clent,1128,8869,1092,0.11283385015504652,0.5081081081081081,0.18466071867070474,Llama-2-7b-hf,en.layer1_NoQuant_64_32_0.01_2_0.0002_3EpochsLast_clent,en.layer1,NoQuant,64,32,0.01,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_32_0.05_8_0.0002_3EpochsLast_clent,2215,17866,5,0.11030327174941487,0.9977477477477478,0.19864580063674273,Llama-2-7b-hf,en.layer1_NoQuant_32_32_0.05_8_0.0002_3EpochsLast_clent,en.layer1,NoQuant,32,32,0.05,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.01_4_0.0002_3EpochsLast_clent,1766,13797,454,0.11347426588703978,0.7954954954954955,0.19861665635719508,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.01_4_0.0002_3EpochsLast_clent,en.layer1,NoQuant,16,64,0.01,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_32_0.01_4_0.0002_3EpochsLast_clent,696,7647,1524,0.08342322905429701,0.31351351351351353,0.13178074410678786,Llama-2-7b-hf,en.layer1_NoQuant_32_32_0.01_4_0.0002_3EpochsLast_clent,en.layer1,NoQuant,32,32,0.01,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_32_0.05_4_0.0002_3EpochsLast_clent,2212,17508,8,0.11217038539553753,0.9963963963963964,0.20164083865086602,Llama-2-7b-hf,en.layer1_NoQuant_64_32_0.05_4_0.0002_3EpochsLast_clent,en.layer1,NoQuant,64,32,0.05,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_32_0.01_8_0.0002_3EpochsLast_clent,2209,17421,11,0.11253183902190525,0.9950450450450451,0.20219679633867277,Llama-2-7b-hf,en.layer1_NoQuant_64_32_0.01_8_0.0002_3EpochsLast_clent,en.layer1,NoQuant,64,32,0.01,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.05_8_0.0002_3EpochsLast_clent,1235,10819,985,0.10245561639289863,0.5563063063063063,0.17304189435336975,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.05_8_0.0002_3EpochsLast_clent,en.layer1,NoQuant,16,32,0.05,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_64_0.05_2_0.0002_3EpochsLast_clent,705,5660,1515,0.11076197957580518,0.31756756756756754,0.1642399534071054,Llama-2-7b-hf,en.layer1_NoQuant_64_64_0.05_2_0.0002_3EpochsLast_clent,en.layer1,NoQuant,64,64,0.05,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.05_8_0.0002_3EpochsLast_clent,24,93,2196,0.20512820512820512,0.010810810810810811,0.02053915275994865,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.05_8_0.0002_3EpochsLast_clent,en.layer1,NoQuant,16,64,0.05,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_32_0.05_2_0.0002_3EpochsLast_clent,902,613,1318,0.5953795379537954,0.4063063063063063,0.4829986613119143,Llama-2-7b-hf,en.layer1_NoQuant_32_32_0.05_2_0.0002_3EpochsLast_clent,en.layer1,NoQuant,32,32,0.05,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.01_8_0.0002_3EpochsLast_clent,72,298,2148,0.1945945945945946,0.032432432432432434,0.0555984555984556,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.01_8_0.0002_3EpochsLast_clent,en.layer1,NoQuant,16,32,0.01,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_64_0.05_2_0.0002_3EpochsLast_clent,67,307,2153,0.17914438502673796,0.03018018018018018,0.051657671549730146,Llama-2-7b-hf,en.layer1_NoQuant_32_64_0.05_2_0.0002_3EpochsLast_clent,en.layer1,NoQuant,32,64,0.05,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_64_0.05_8_0.0002_3EpochsLast_clent,2206,17346,14,0.11282733224222585,0.9936936936936936,0.20264559985302222,Llama-2-7b-hf,en.layer1_NoQuant_32_64_0.05_8_0.0002_3EpochsLast_clent,en.layer1,NoQuant,32,64,0.05,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.01_2_0.0002_3EpochsLast_clent,787,6522,1433,0.10767546860035572,0.3545045045045045,0.16517997691258263,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.01_2_0.0002_3EpochsLast_clent,en.layer1,NoQuant,16,64,0.01,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.01_2_0.0002_3EpochsLast_clent,690,5202,1530,0.11710794297352342,0.3108108108108108,0.17011834319526628,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.01_2_0.0002_3EpochsLast_clent,en.layer1,NoQuant,16,32,0.01,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_64_0.01_2_0.0002_3EpochsLast_clent,945,484,1275,0.6613016095171449,0.42567567567567566,0.5179501233214578,Llama-2-7b-hf,en.layer1_NoQuant_64_64_0.01_2_0.0002_3EpochsLast_clent,en.layer1,NoQuant,64,64,0.01,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_64_0.05_4_0.0002_3EpochsLast_clent,2209,17473,11,0.11223452901127934,0.9950450450450451,0.2017167381974249,Llama-2-7b-hf,en.layer1_NoQuant_64_64_0.05_4_0.0002_3EpochsLast_clent,en.layer1,NoQuant,64,64,0.05,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_64_0.01_2_0.0002_3EpochsLast_clent,42,154,2178,0.21428571428571427,0.01891891891891892,0.034768211920529805,Llama-2-7b-hf,en.layer1_NoQuant_32_64_0.01_2_0.0002_3EpochsLast_clent,en.layer1,NoQuant,32,64,0.01,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_32_0.05_8_0.0002_3EpochsLast_clent,1036,9328,1184,0.09996140486298727,0.4666666666666667,0.16465352828989194,Llama-2-7b-hf,en.layer1_NoQuant_64_32_0.05_8_0.0002_3EpochsLast_clent,en.layer1,NoQuant,64,32,0.05,8,0.0002,3EpochsLast
