dataset,TP,FP,FN,precision,recall,f1,model_type,training_config,layer,quantization,r,lora_alpha,lora_dropout,gradient_accumulation_steps,learning_rate,run_type
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_32_0.05_1_0.0002_6Epochs_clent_bf,0,0,2220,,0.0,,Llama-2-7b-hf,en.layer1_NoQuant_32_32_0.05_1_0.0002_6Epochs_clent_bf,en.layer1,NoQuant,32,32,0.05,1,0.0002,6Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_64_0.01_1_0.0002_6Epochs_clent_bf,0,0,2220,,0.0,,Llama-2-7b-hf,en.layer1_NoQuant_32_64_0.01_1_0.0002_6Epochs_clent_bf,en.layer1,NoQuant,32,64,0.01,1,0.0002,6Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.05_1_0.0002_6Epochs_clent_bf,8,24,2212,0.25,0.0036036036036036037,0.007104795737122557,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.05_1_0.0002_6Epochs_clent_bf,en.layer1,NoQuant,16,32,0.05,1,0.0002,6Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_32_0.01_1_0.0002_6Epochs_clent_bf,0,0,2220,,0.0,,Llama-2-7b-hf,en.layer1_NoQuant_64_32_0.01_1_0.0002_6Epochs_clent_bf,en.layer1,NoQuant,64,32,0.01,1,0.0002,6Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.01_1_0.0002_6Epochs_clent_bf,0,0,2220,,0.0,,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.01_1_0.0002_6Epochs_clent_bf,en.layer1,NoQuant,16,64,0.01,1,0.0002,6Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_64_0.01_1_0.0002_6Epochs_clent_bf,6,9,2214,0.4,0.002702702702702703,0.005369127516778524,Llama-2-7b-hf,en.layer1_NoQuant_64_64_0.01_1_0.0002_6Epochs_clent_bf,en.layer1,NoQuant,64,64,0.01,1,0.0002,6Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.01_1_0.0002_6Epochs_clent_bf,809,525,1411,0.6064467766116941,0.3644144144144144,0.45526167698368036,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.01_1_0.0002_6Epochs_clent_bf,en.layer1,NoQuant,16,32,0.01,1,0.0002,6Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.05_1_0.0002_6Epochs_clent_bf,0,0,2220,,0.0,,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.05_1_0.0002_6Epochs_clent_bf,en.layer1,NoQuant,16,64,0.05,1,0.0002,6Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_32_0.05_1_0.0002_6Epochs_clent_bf,0,0,2220,,0.0,,Llama-2-7b-hf,en.layer1_NoQuant_64_32_0.05_1_0.0002_6Epochs_clent_bf,en.layer1,NoQuant,64,32,0.05,1,0.0002,6Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_32_0.01_1_0.0002_6Epochs_clent_bf,1501,1049,719,0.5886274509803922,0.6761261261261261,0.6293501048218029,Llama-2-7b-hf,en.layer1_NoQuant_32_32_0.01_1_0.0002_6Epochs_clent_bf,en.layer1,NoQuant,32,32,0.01,1,0.0002,6Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_64_0.05_1_0.0002_6Epochs_clent_bf,9,15,2211,0.375,0.004054054054054054,0.008021390374331552,Llama-2-7b-hf,en.layer1_NoQuant_64_64_0.05_1_0.0002_6Epochs_clent_bf,en.layer1,NoQuant,64,64,0.05,1,0.0002,6Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_64_0.05_1_0.0002_6Epochs_clent_bf,0,0,2220,,0.0,,Llama-2-7b-hf,en.layer1_NoQuant_32_64_0.05_1_0.0002_6Epochs_clent_bf,en.layer1,NoQuant,32,64,0.05,1,0.0002,6Epochs
