dataset,TP,FP,FN,precision,recall,f1,model_type,training_config,layer,quantization,r,lora_alpha,lora_dropout,gradient_accumulation_steps,learning_rate,run_type
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_64_0.05_4_0.0002_3EpochsLast,3269,4032,6204,0.4477468839884947,0.3450860339913438,0.3897698819601764,Llama-2-7b-hf,en.layer1_NoQuant_32_64_0.05_4_0.0002_3EpochsLast,en.layer1,NoQuant,32,64,0.05,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_32_0.05_4_0.0002_3EpochsLast,2487,3140,7238,0.4419761862448907,0.25573264781491,0.32399687337154764,Llama-2-7b-hf,en.layer1_NoQuant_32_32_0.05_4_0.0002_3EpochsLast,en.layer1,NoQuant,32,32,0.05,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_32_0.05_2_0.0002_3EpochsLast,758,2213,8457,0.2551329518680579,0.08225718936516549,0.12440505498112586,Llama-2-7b-hf,en.layer1_NoQuant_64_32_0.05_2_0.0002_3EpochsLast,en.layer1,NoQuant,64,32,0.05,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_64_0.05_2_0.0002_3EpochsLast,705,2044,8637,0.25645689341578753,0.07546563904945408,0.11661566454387562,Llama-2-7b-hf,en.layer1_NoQuant_32_64_0.05_2_0.0002_3EpochsLast,en.layer1,NoQuant,32,64,0.05,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_32_0.05_4_0.0002_3EpochsLast,1453,1797,8758,0.4470769230769231,0.14229752227989423,0.21588292103112697,Llama-2-7b-hf,en.layer1_NoQuant_64_32_0.05_4_0.0002_3EpochsLast,en.layer1,NoQuant,64,32,0.05,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_64_0.01_4_0.0002_3EpochsLast,3569,4328,5793,0.45194377611751296,0.3812219611194189,0.41358131989107133,Llama-2-7b-hf,en.layer1_NoQuant_32_64_0.01_4_0.0002_3EpochsLast,en.layer1,NoQuant,32,64,0.01,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.05_8_0.0002_3EpochsLast,1083,1400,9335,0.43616592831252515,0.1039546937991937,0.16789396170839468,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.05_8_0.0002_3EpochsLast,en.layer1,NoQuant,16,64,0.05,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.05_2_0.0002_3EpochsLast,1807,5281,5189,0.25493792325056436,0.2582904516866781,0.2566032377165578,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.05_2_0.0002_3EpochsLast,en.layer1,NoQuant,16,32,0.05,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.01_4_0.0002_3EpochsLast,4221,5117,4920,0.452023988005997,0.4617656711519527,0.45684290275447803,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.01_4_0.0002_3EpochsLast,en.layer1,NoQuant,16,64,0.01,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_32_0.01_4_0.0002_3EpochsLast,614,1112,9941,0.35573580533024335,0.05817148270961629,0.09999185734060743,Llama-2-7b-hf,en.layer1_NoQuant_32_32_0.01_4_0.0002_3EpochsLast,en.layer1,NoQuant,32,32,0.01,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_64_0.05_2_0.0002_3EpochsLast,5,3,10860,0.625,0.0004601932811780948,0.0009197093718384991,Llama-2-7b-hf,en.layer1_NoQuant_64_64_0.05_2_0.0002_3EpochsLast,en.layer1,NoQuant,64,64,0.05,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.01_8_0.0002_3EpochsLast,3354,4069,6083,0.45183887915936954,0.35540955812228464,0.3978647686832741,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.01_8_0.0002_3EpochsLast,en.layer1,NoQuant,16,64,0.01,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_32_0.05_8_0.0002_3EpochsLast,7581,9598,78,0.44129460387682634,0.9898159028593811,0.6104356228359771,Llama-2-7b-hf,en.layer1_NoQuant_64_32_0.05_8_0.0002_3EpochsLast,en.layer1,NoQuant,64,32,0.05,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_64_0.01_8_0.0002_3EpochsLast,3538,4259,5833,0.4537642683083237,0.37754775370824883,0.4121621621621621,Llama-2-7b-hf,en.layer1_NoQuant_64_64_0.01_8_0.0002_3EpochsLast,en.layer1,NoQuant,64,64,0.01,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_32_0.05_2_0.0002_3EpochsLast,1618,4467,5594,0.2658997534921939,0.22434830837493067,0.2433631646235993,Llama-2-7b-hf,en.layer1_NoQuant_32_32_0.05_2_0.0002_3EpochsLast,en.layer1,NoQuant,32,32,0.05,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.01_2_0.0002_3EpochsLast,1573,4373,5722,0.2645475950218634,0.21562714187799864,0.23759534778340002,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.01_2_0.0002_3EpochsLast,en.layer1,NoQuant,16,32,0.01,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_32_0.01_2_0.0002_3EpochsLast,1637,4505,5561,0.2665255617062846,0.22742428452347874,0.2454272863568216,Llama-2-7b-hf,en.layer1_NoQuant_64_32_0.01_2_0.0002_3EpochsLast,en.layer1,NoQuant,64,32,0.01,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_32_0.01_8_0.0002_3EpochsLast,2936,4006,6632,0.42293287237107463,0.3068561872909699,0.35566323440339187,Llama-2-7b-hf,en.layer1_NoQuant_32_32_0.01_8_0.0002_3EpochsLast,en.layer1,NoQuant,32,32,0.01,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_32_0.01_2_0.0002_3EpochsLast,23,13,10830,0.6388888888888888,0.002119229706072054,0.004224446689319497,Llama-2-7b-hf,en.layer1_NoQuant_32_32_0.01_2_0.0002_3EpochsLast,en.layer1,NoQuant,32,32,0.01,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.01_8_0.0002_3EpochsLast,4502,6009,4324,0.42831319569974313,0.5100838431905733,0.4656358276878523,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.01_8_0.0002_3EpochsLast,en.layer1,NoQuant,16,32,0.01,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.05_4_0.0002_3EpochsLast,388,447,10311,0.46467065868263474,0.036265071502009534,0.06727934801456562,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.05_4_0.0002_3EpochsLast,en.layer1,NoQuant,16,64,0.05,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_64_0.05_8_0.0002_3EpochsLast,7021,9481,486,0.42546358017210034,0.9352604236046357,0.5848640093298346,Llama-2-7b-hf,en.layer1_NoQuant_64_64_0.05_8_0.0002_3EpochsLast,en.layer1,NoQuant,64,64,0.05,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.01_2_0.0002_3EpochsLast,239,298,10538,0.4450651769087523,0.022176858123782128,0.04224854162983914,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.01_2_0.0002_3EpochsLast,en.layer1,NoQuant,16,64,0.01,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_32_0.05_8_0.0002_3EpochsLast,4085,4912,5107,0.45404023563410023,0.44440818102698,0.44917257683215134,Llama-2-7b-hf,en.layer1_NoQuant_32_32_0.05_8_0.0002_3EpochsLast,en.layer1,NoQuant,32,32,0.05,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_64_0.05_4_0.0002_3EpochsLast,1675,2299,8389,0.42148968293910416,0.1664348171701113,0.2386379826186066,Llama-2-7b-hf,en.layer1_NoQuant_64_64_0.05_4_0.0002_3EpochsLast,en.layer1,NoQuant,64,64,0.05,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.05_2_0.0002_3EpochsLast,6596,1672,3609,0.7977745524915336,0.6463498285154337,0.7141233151085369,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.05_2_0.0002_3EpochsLast,en.layer1,NoQuant,16,64,0.05,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.05_8_0.0002_3EpochsLast,3638,4408,5700,0.4521501367138951,0.38959091882630115,0.41854578923147717,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.05_8_0.0002_3EpochsLast,en.layer1,NoQuant,16,32,0.05,8,0.0002,3EpochsLast
