entity_group,score,word,start,end
I,0.86141753,child,5,11
B,0.8695024,acquired walking,11,28
B,0.5781699,the,31,35
B,0.6531575,,42,43
I,0.7343426,14 months.,43,53
I,0.4812025,dom,5,8
B,0.98446286,examination,23,35
B,0.92375946,reported,39,48
B,0.76404893,blood pressure,3,18
B,0.76439685,1,22,24
I,0.54644287,/,26,27
I,0.7019564,0 mm,28,32
B,0.78108233,,55,56
B,0.5998398,,92,93
I,0.50443244,/min,95,99
B,0.5658791,temperature,108,120
B,0.76466715,,123,124
I,0.61299944,°C,126,128
B,0.6224024,ography,27,34
B,0.8407777,ography showed,39,53
B,0.53041786,contrast,55,64
I,0.67545414,abscess cavity posterior,73,98
B,0.4552236,the,101,105
I,0.7694904,left retropharyngeal space,105,132
I,0.4577049,density area,144,156
B,0.7483153,enhancement,195,207
B,0.67085475,the,210,214
I,0.8264909,posterior neck.,214,230
B,0.7798042,rate,11,16
I,0.48075384,mitosis,39,47
I,0.45555377,power,55,61
B,0.54055095,figures,90,98
B,0.63954717,present,108,116
B,0.87198424,studies,20,28
B,0.50720346,,59,60
I,0.56471086,g,62,64
I,0.48104152,d,65,66
B,0.6938321,count,77,83
B,0.512081,u,101,103
B,0.6528858,,109,110
B,0.63870245,,160,161
I,0.79324824,mg,163,166
I,0.8790051,mg,174,177
I,0.75164664,(,38,40
B,0.9378443,ey,55,57
B,0.46741572,opening,58,66
B,0.54060596,5,70,71
B,0.60782343,response,79,88
B,0.72835696,symmet,116,123
B,0.805949,reactive,132,141
B,0.39415658,-,165,166
B,0.52649945,deficit,171,179
I,0.53011113,o,187,189
B,0.8852193,steotendin,189,199
B,0.74285215,reflexes,202,211
B,0.7715434,ypne,225,229
I,0.76751924,cycles/,237,245
I,0.5920727,puls,249,254
B,0.6792493,2,280,281
B,0.55786735,he,305,308
I,0.6139196,ach,314,317
B,0.57875186,ycard,317,322
B,0.4232729,5,330,331
I,0.8535662,b,331,333
B,0.4412934,hy,339,342
B,0.7040104,,355,356
I,0.5903518,0,358,359
B,0.44895142,cap,372,376
B,0.9369836,uc,391,393
B,0.6367169,,399,400
I,0.6504147,24,402,404
B,0.68626404,ly,415,417
I,0.5039656,cos,417,420
B,0.9353351,dip,437,441
B,0.58001447,k,459,461
B,0.6814031,results showed haemogl,3,26
I,0.51779276,obin 10.,26,34
I,0.605051,g,35,37
I,0.41268787,dl,38,40
B,0.7730509,packed,41,48
I,0.59104425,cell volume ,48,61
B,0.5607183,malaria paras,78,92
I,0.47965172,ites,92,96
B,0.96301115,The,0,3
I,0.9625127,patient,3,11
B,0.63060063,went extended,17,30
I,0.58852315,left parotidect,30,46
B,0.49893236,omy.,46,50
B,0.8694248,screening,8,18
B,0.82050496,infection,48,58
B,0.5795952,resulted negative,59,77
B,0.885862,drainage,12,21
B,0.47935763,ab,29,32
I,0.50852615,scesses,32,39
B,0.8796264,treatment,68,78
B,0.5996581,successful,83,94
B,0.6789076,the,98,102
I,0.7077302,patient',102,111
B,0.6667297,improved,131,140
B,0.819954,Her,0,3
I,0.9048986,mother,3,10
B,0.7737373,noticed,14,22
B,0.7034347,alignment,28,37
B,0.7415548,the,40,44
I,0.78246003,eyes three years,44,61
B,0.740158,the,76,80
I,0.9530107,patient,80,88
B,0.84522986,complaining,97,109
B,0.58408517,distance vision,120,136
B,0.51515377,a,146,148
I,0.87361884,year.,148,154
B,0.6675539,expl,2,7
B,0.544286,lapar,14,20
B,0.5875334,omy,22,25
B,0.80208015,indicated,34,44
B,0.5068183,presum,49,56
B,0.7563506,diagnosis,61,71
B,0.5901845,du,85,88
B,0.76310015,biology revealed,5,21
B,0.7233754,growth,67,74
B,0.5907039,ast enema,5,14
B,0.5879532,remarkable,21,31
B,0.7268321,oli,5,8
B,0.7542885,inconspic,23,33
B,0.7295773,wound,3,9
B,0.86495,explored,13,22
B,0.63049835,g,23,25
B,0.5209653,met,28,31
B,0.66174346,electro,35,43
B,0.56618714,removed,51,59
B,0.5975943,diagnosis,3,13
I,0.46548274,man,46,49
B,0.5534503,disease,51,59
B,0.9268236,established,63,75
I,0.67124146,patient,83,91
B,0.80517596,recovered,91,101
B,0.46783462,She,0,3
B,0.99997663,presented,7,17
I,0.5101795,9,29,30
B,0.72701305,history,37,45
B,0.7588411,class III,74,84
I,0.77354753,(,84,86
B,0.7439496,Canad,86,91
B,0.6272617,Card,94,99
B,0.92646646,classification,117,132
I,0.6561532,wors,143,148
B,0.68308294,protocol,3,12
B,0.81511015,interrupted 4,21,35
I,0.84419006,years,35,41
B,0.5001575,reaction,70,79
B,0.5459372,masses,7,14
B,0.89574885,excised,19,27
B,0.83288175,Bowel movements,0,15
B,0.6498309,normal,20,27
B,0.7185079,test,14,19
B,0.55600715,sedation,36,45
B,0.83117443,restriction,79,91
B,0.7433913,elevation,102,112
I,0.8206097,left eye,119,128
B,0.9745268,du,134,136
B,0.80302674,discharge,2,12
B,0.6325505,ser,15,19
B,0.5259843,persisted,36,46
B,0.6234423,sac,47,51
B,0.8018702,wound,54,60
B,0.77146006,explored,64,73
I,0.35419628,,1,2
B,0.47997364,6,2,3
I,0.84159166,1-year-old woman,3,19
B,0.54367566,gravida ,20,29
B,0.8476139,presented,38,48
I,0.39201495,ian,79,82
B,0.557617,c,82,84
B,0.4819549,pur,8,12
B,0.68820614,,29,30
I,0.51845664,cc,32,34
B,0.77144384,drained,38,46
B,0.83306384,sent,50,55
B,0.6326351,culture,59,67
B,0.61845016,cription,13,21
B,0.6418722,mer,26,29
B,0.5819686,reaction,38,47
B,0.5462893,S,54,55
B,0.79856414,positive,72,81
B,0.73720706,CT,110,112
B,0.6855297,findings,34,43
B,0.6949322,The,0,3
I,0.9287046,patient,3,11
B,0.59162796,asymptomatic,19,32
B,0.6225489,follow-up,36,46
B,0.71978265,2,49,51
I,0.95413285,months,52,59
B,0.6336008,evidence,69,78
B,0.7760746,rence,87,92
B,0.53442353,asis,102,106
B,0.43675116,Im,0,2
I,0.3814399,work,13,18
B,0.83441913,up,18,20
